# sequence	migration_key	script	dependencies	checksum_sha256	release_state	baseline_mode	recovery_mode	object_probe
03	20260711_task03_auth_version	20260711_task03_auth_version.sql	-	942f1aae8ddc0c70607d31fe7e68fc79909dd580c416818ecda30f0c5dfeed61	ACTIVE	PROBE_REQUIRED	OBJECT_DEFINITION_RESUME	EXISTS(SELECT 1 FROM information_schema.COLUMNS WHERE TABLE_SCHEMA=DATABASE() AND TABLE_NAME='t_user' AND COLUMN_NAME='auth_version' AND DATA_TYPE='bigint' AND IS_NULLABLE='NO' AND COLUMN_DEFAULT='0') AND EXISTS(SELECT 1 FROM information_schema.TABLE_CONSTRAINTS WHERE CONSTRAINT_SCHEMA=DATABASE() AND TABLE_NAME='t_user' AND CONSTRAINT_NAME='chk_user_auth_version' AND CONSTRAINT_TYPE='CHECK') AND EXISTS(SELECT 1 FROM information_schema.CHECK_CONSTRAINTS WHERE CONSTRAINT_SCHEMA=DATABASE() AND CONSTRAINT_NAME='chk_user_auth_version' AND CHECK_CLAUSE LIKE '%auth_version%')
09	20260711_task09_organization_foundation	20260711_task09_organization_foundation.sql	20260711_task03_auth_version	e139ee89be4d1699915d304b70373287d95db60a34ed0ac86c2167a9e4714e00	ACTIVE	PROBE_REQUIRED	OBJECT_DEFINITION_RESUME	(SELECT COUNT(*) FROM information_schema.TABLES WHERE TABLE_SCHEMA=DATABASE() AND TABLE_NAME IN ('t_employee','t_organization_unit','t_position','t_employee_assignment','t_employee_reporting'))=5 AND EXISTS(SELECT 1 FROM t_organization_unit WHERE code='DEFAULT_COMPANY' AND type='COMPANY' AND parent_id IS NULL AND migration_placeholder=0) AND EXISTS(SELECT 1 FROM t_organization_unit WHERE code='UNASSIGNED_ORG' AND migration_placeholder=1) AND EXISTS(SELECT 1 FROM t_position WHERE code='UNASSIGNED_POSITION' AND built_in=1) AND NOT EXISTS(SELECT 1 FROM t_user u LEFT JOIN t_employee e ON e.user_id=u.id WHERE u.account_type='HUMAN' AND e.id IS NULL) AND (SELECT COUNT(*) FROM information_schema.TABLE_CONSTRAINTS WHERE CONSTRAINT_SCHEMA=DATABASE() AND CONSTRAINT_NAME IN ('uk_employee_user','uk_employee_active_primary','uk_employee_active_direct_manager','fk_employee_assignment_org','fk_employee_reporting_manager'))=5
10	20260711_task10_authorization_history	20260711_task10_authorization_history.sql	20260711_task09_organization_foundation	1e9465ed2372f3c4c5234e4db2f3de818bccf3c2a8398c9443341e1bb8248be9	ACTIVE	PROBE_REQUIRED	FIRST_RUN_BACKFILL_THEN_OBJECT_RESUME	EXISTS(SELECT 1 FROM information_schema.COLUMNS WHERE TABLE_SCHEMA=DATABASE() AND TABLE_NAME='t_role' AND COLUMN_NAME='authorization_level' AND DATA_TYPE='int' AND IS_NULLABLE='NO') AND EXISTS(SELECT 1 FROM information_schema.TABLES WHERE TABLE_SCHEMA=DATABASE() AND TABLE_NAME='t_user_permission' AND ENGINE='InnoDB') AND EXISTS(SELECT 1 FROM information_schema.TABLES WHERE TABLE_SCHEMA=DATABASE() AND TABLE_NAME='t_authorization_history' AND ENGINE='InnoDB') AND (SELECT COUNT(*) FROM information_schema.TRIGGERS WHERE TRIGGER_SCHEMA=DATABASE() AND EVENT_OBJECT_TABLE='t_authorization_history' AND TRIGGER_NAME IN ('trg_authorization_history_no_update','trg_authorization_history_no_delete'))=2 AND EXISTS(SELECT 1 FROM information_schema.CHECK_CONSTRAINTS WHERE CONSTRAINT_SCHEMA=DATABASE() AND CONSTRAINT_NAME='chk_user_role_period' AND CHECK_CLAUSE LIKE '%>%' AND CHECK_CLAUSE NOT LIKE '%>=%')
11	20260711_task11_organization_management	20260711_task11_organization_management.sql	20260711_task10_authorization_history	7227dd9a29fd28d088e8c91a86d558d07401fe488fa996ff4073fa6b1668d4d4	ACTIVE	PROBE_REQUIRED	OBJECT_DEFINITION_RESUME	(SELECT COUNT(*) FROM t_permission WHERE code IN ('organization:list','organization:view','organization:add','organization:edit','organization:status','position:list','position:add','position:edit','position:status','employee:assignment','employee:reporting'))=11 AND EXISTS(SELECT 1 FROM information_schema.TABLE_CONSTRAINTS WHERE CONSTRAINT_SCHEMA=DATABASE() AND TABLE_NAME='t_authorization_history' AND CONSTRAINT_NAME='chk_authorization_history_subject' AND CONSTRAINT_TYPE='CHECK') AND EXISTS(SELECT 1 FROM information_schema.CHECK_CONSTRAINTS WHERE CONSTRAINT_SCHEMA=DATABASE() AND CONSTRAINT_NAME='chk_authorization_history_subject' AND CHECK_CLAUSE LIKE '%ORGANIZATION_UNIT%' AND CHECK_CLAUSE LIKE '%REPORTING_RELATION%')
12	20260711_task12_role_permission_matrix	20260711_task12_role_permission_matrix.sql	20260711_task11_organization_management	5e609a52bd3ccf1447e556a09903fda024034a4f10e92d69076bfa1200686998	ACTIVE	PROBE_REQUIRED	FIRST_RUN_BACKFILL_THEN_OBJECT_RESUME	(SELECT COUNT(*) FROM information_schema.TABLES WHERE TABLE_SCHEMA=DATABASE() AND TABLE_NAME IN ('t_role_organization','t_role_permission_organization','t_authorization_graph_lock'))=3 AND (SELECT COUNT(*) FROM t_authorization_graph_lock WHERE lock_name IN ('ORGANIZATION_HIERARCHY','REPORTING_GRAPH'))=2 AND EXISTS(SELECT 1 FROM information_schema.COLUMNS WHERE TABLE_SCHEMA=DATABASE() AND TABLE_NAME='t_role' AND COLUMN_NAME='scope_type' AND IS_NULLABLE='NO') AND EXISTS(SELECT 1 FROM t_permission WHERE code='user:permission' AND sensitivity_level='PROTECTED' AND delegable=0) AND (SELECT COUNT(*) FROM information_schema.REFERENTIAL_CONSTRAINTS WHERE CONSTRAINT_SCHEMA=DATABASE() AND CONSTRAINT_NAME IN ('fk_role_permission_role','fk_role_permission_permission','fk_user_role_user','fk_user_role_role') AND DELETE_RULE='RESTRICT')=4
13	20260711_task13_user_authorization	20260711_task13_user_authorization.sql	20260711_task12_role_permission_matrix	67f5ffce491ae7cbc77f96d1f2a44e2c5f4a1becba64e82cca2b8dbca12e0a08	ACTIVE	PROBE_REQUIRED	FIRST_RUN_BACKFILL_THEN_OBJECT_RESUME	EXISTS(SELECT 1 FROM information_schema.COLUMNS WHERE TABLE_SCHEMA=DATABASE() AND TABLE_NAME='t_user' AND COLUMN_NAME='authorization_version' AND DATA_TYPE='int' AND IS_NULLABLE='NO') AND EXISTS(SELECT 1 FROM information_schema.COLUMNS WHERE TABLE_SCHEMA=DATABASE() AND TABLE_NAME='t_user_role' AND COLUMN_NAME='id' AND EXTRA LIKE '%auto_increment%') AND EXISTS(SELECT 1 FROM information_schema.COLUMNS WHERE TABLE_SCHEMA=DATABASE() AND TABLE_NAME='t_user_role' AND COLUMN_NAME='active_marker') AND EXISTS(SELECT 1 FROM information_schema.TABLES WHERE TABLE_SCHEMA=DATABASE() AND TABLE_NAME='t_user_permission_organization')
15	20260712_task15_credential_lifecycle	20260712_task15_credential_lifecycle.sql	20260711_task13_user_authorization	aab656bc0cbb69a8a5de2c30a06801acee2ff16e6e4b0dd0ff2b95371654d785	ACTIVE	PROBE_REQUIRED	FIRST_RUN_BACKFILL_THEN_OBJECT_RESUME	EXISTS(SELECT 1 FROM information_schema.COLUMNS WHERE TABLE_SCHEMA=DATABASE() AND TABLE_NAME='t_user' AND COLUMN_NAME='account_status' AND COLUMN_TYPE='varchar(16)' AND IS_NULLABLE='NO' AND COLUMN_DEFAULT='ACTIVE') AND EXISTS(SELECT 1 FROM information_schema.COLUMNS WHERE TABLE_SCHEMA=DATABASE() AND TABLE_NAME='t_user' AND COLUMN_NAME='manual_locked' AND IS_NULLABLE='NO' AND COLUMN_DEFAULT='0') AND EXISTS(SELECT 1 FROM information_schema.COLUMNS WHERE TABLE_SCHEMA=DATABASE() AND TABLE_NAME='t_user' AND COLUMN_NAME='account_expires_at' AND DATA_TYPE='datetime' AND IS_NULLABLE='YES') AND EXISTS(SELECT 1 FROM information_schema.COLUMNS WHERE TABLE_SCHEMA=DATABASE() AND TABLE_NAME='t_user' AND COLUMN_NAME='password_expires_at' AND DATA_TYPE='datetime' AND IS_NULLABLE='YES') AND EXISTS(SELECT 1 FROM information_schema.TABLES WHERE TABLE_SCHEMA=DATABASE() AND TABLE_NAME='t_account_credential' AND ENGINE='InnoDB') AND EXISTS(SELECT 1 FROM information_schema.STATISTICS WHERE TABLE_SCHEMA=DATABASE() AND TABLE_NAME='t_account_credential' AND INDEX_NAME='uk_account_credential_digest' AND NON_UNIQUE=0) AND EXISTS(SELECT 1 FROM information_schema.TABLES WHERE TABLE_SCHEMA=DATABASE() AND TABLE_NAME='t_password_history' AND ENGINE='InnoDB') AND EXISTS(SELECT 1 FROM information_schema.TABLES WHERE TABLE_SCHEMA=DATABASE() AND TABLE_NAME='t_login_identifier' AND ENGINE='InnoDB') AND EXISTS(SELECT 1 FROM information_schema.COLUMNS WHERE TABLE_SCHEMA=DATABASE() AND TABLE_NAME='t_login_identifier' AND COLUMN_NAME='login_act' AND COLUMN_TYPE='varchar(32)' AND IS_NULLABLE='NO') AND (SELECT GROUP_CONCAT(COLUMN_NAME ORDER BY SEQ_IN_INDEX) FROM information_schema.STATISTICS WHERE TABLE_SCHEMA=DATABASE() AND TABLE_NAME='t_login_identifier' AND INDEX_NAME='uk_login_identifier_login_act' AND NON_UNIQUE=0)='login_act' AND (SELECT GROUP_CONCAT(COLUMN_NAME ORDER BY SEQ_IN_INDEX) FROM information_schema.STATISTICS WHERE TABLE_SCHEMA=DATABASE() AND TABLE_NAME='t_login_identifier' AND INDEX_NAME='uk_login_identifier_active_user' AND NON_UNIQUE=0)='user_id,active_marker' AND (SELECT COUNT(*) FROM information_schema.REFERENTIAL_CONSTRAINTS WHERE CONSTRAINT_SCHEMA=DATABASE() AND CONSTRAINT_NAME IN ('fk_login_identifier_user','fk_login_identifier_changed_by') AND DELETE_RULE='RESTRICT')=2 AND EXISTS(SELECT 1 FROM information_schema.CHECK_CONSTRAINTS WHERE CONSTRAINT_SCHEMA=DATABASE() AND CONSTRAINT_NAME='chk_login_identifier_state' AND CHECK_CLAUSE LIKE '%ACTIVE%' AND CHECK_CLAUSE LIKE '%RETIRED%') AND EXISTS(SELECT 1 FROM t_authorization_graph_lock WHERE lock_name='LOGIN_IDENTIFIER_GUARD') AND NOT EXISTS(SELECT 1 FROM t_user u LEFT JOIN t_login_identifier li ON li.user_id=u.id AND li.login_act=u.login_act AND li.status='ACTIVE' AND li.active_marker=1 AND li.retired_at IS NULL WHERE u.login_act IS NULL OR li.id IS NULL)
16	20260712_task16_profile	20260712_task16_profile.sql	20260712_task15_credential_lifecycle	ab48394d46f6f038efdce3a42ca984de25902ad6f22b11b78150c67a96508b42	ACTIVE	PROBE_REQUIRED	OBJECT_DEFINITION_RESUME	EXISTS(SELECT 1 FROM information_schema.COLUMNS WHERE TABLE_SCHEMA=DATABASE() AND TABLE_NAME='t_employee' AND COLUMN_NAME='avatar_url' AND CHARACTER_MAXIMUM_LENGTH>=500) AND EXISTS(SELECT 1 FROM information_schema.COLUMNS WHERE TABLE_SCHEMA=DATABASE() AND TABLE_NAME='t_employee' AND COLUMN_NAME='profile_version' AND IS_NULLABLE='NO') AND EXISTS(SELECT 1 FROM information_schema.COLUMNS WHERE TABLE_SCHEMA=DATABASE() AND TABLE_NAME='t_employee' AND COLUMN_NAME='phone_verified' AND IS_NULLABLE='NO' AND COLUMN_DEFAULT='0') AND EXISTS(SELECT 1 FROM information_schema.COLUMNS WHERE TABLE_SCHEMA=DATABASE() AND TABLE_NAME='t_employee' AND COLUMN_NAME='email_verified' AND IS_NULLABLE='NO' AND COLUMN_DEFAULT='0') AND EXISTS(SELECT 1 FROM information_schema.COLUMNS WHERE TABLE_SCHEMA=DATABASE() AND TABLE_NAME='t_user' AND COLUMN_NAME='profile_version' AND IS_NULLABLE='NO')
17	20260712_task17_user_session	20260712_task17_user_session.sql	20260712_task16_profile	989a0030460c48c5005816234a438c651bdf77fc8fba004305380d385bea3c0a	ACTIVE	PROBE_REQUIRED	OBJECT_DEFINITION_RESUME	EXISTS(SELECT 1 FROM information_schema.COLUMNS WHERE TABLE_SCHEMA=DATABASE() AND TABLE_NAME='t_user' AND COLUMN_NAME='session_revision' AND DATA_TYPE='bigint' AND IS_NULLABLE='NO') AND EXISTS(SELECT 1 FROM information_schema.TABLES WHERE TABLE_SCHEMA=DATABASE() AND TABLE_NAME='t_user_session' AND ENGINE='InnoDB') AND EXISTS(SELECT 1 FROM information_schema.STATISTICS WHERE TABLE_SCHEMA=DATABASE() AND TABLE_NAME='t_user_session' AND INDEX_NAME='uk_user_session_id' AND NON_UNIQUE=0) AND EXISTS(SELECT 1 FROM information_schema.STATISTICS WHERE TABLE_SCHEMA=DATABASE() AND TABLE_NAME='t_user_session' AND INDEX_NAME='uk_user_session_token_digest' AND NON_UNIQUE=0)
18	20260712_task18_user_management_workspace	20260712_task18_user_management_workspace.sql	20260712_task17_user_session	908d73a76e79506e48b30fe6ba19fe86d9cbbb01d4c72cf9245c02f00c1fec74	ACTIVE	PROBE_REQUIRED	OBJECT_DEFINITION_RESUME	(SELECT COUNT(DISTINCT INDEX_NAME) FROM information_schema.STATISTICS WHERE TABLE_SCHEMA=DATABASE() AND INDEX_NAME IN ('idx_user_workspace_status','idx_user_workspace_last_login','idx_employee_assignment_workspace_org','idx_employee_assignment_workspace_position','idx_employee_reporting_workspace_manager'))=5 AND EXISTS(SELECT 1 FROM t_permission WHERE code='user:sensitive:view' AND sensitivity_level='SENSITIVE' AND delegable=0) AND EXISTS(SELECT 1 FROM t_authorization_graph_lock WHERE lock_name='AVAILABLE_ADMIN_GUARD') AND (SELECT GROUP_CONCAT(COLUMN_NAME ORDER BY SEQ_IN_INDEX) FROM information_schema.STATISTICS WHERE TABLE_SCHEMA=DATABASE() AND TABLE_NAME='t_user' AND INDEX_NAME='idx_user_workspace_status')='account_status,manual_locked,auto_locked_until,id' AND (SELECT GROUP_CONCAT(COLUMN_NAME ORDER BY SEQ_IN_INDEX) FROM information_schema.STATISTICS WHERE TABLE_SCHEMA=DATABASE() AND TABLE_NAME='t_user' AND INDEX_NAME='idx_user_workspace_last_login')='last_login_time,id' AND (SELECT GROUP_CONCAT(COLUMN_NAME ORDER BY SEQ_IN_INDEX) FROM information_schema.STATISTICS WHERE TABLE_SCHEMA=DATABASE() AND TABLE_NAME='t_employee_assignment' AND INDEX_NAME='idx_employee_assignment_workspace_org')='organization_unit_id,assignment_type,status,active_primary_marker,employee_id' AND (SELECT GROUP_CONCAT(COLUMN_NAME ORDER BY SEQ_IN_INDEX) FROM information_schema.STATISTICS WHERE TABLE_SCHEMA=DATABASE() AND TABLE_NAME='t_employee_assignment' AND INDEX_NAME='idx_employee_assignment_workspace_position')='position_id,assignment_type,status,active_primary_marker,employee_id' AND (SELECT GROUP_CONCAT(COLUMN_NAME ORDER BY SEQ_IN_INDEX) FROM information_schema.STATISTICS WHERE TABLE_SCHEMA=DATABASE() AND TABLE_NAME='t_employee_reporting' AND INDEX_NAME='idx_employee_reporting_workspace_manager')='manager_employee_id,relation_type,status,active_direct_marker,subordinate_employee_id'
